ID_Hogar;ID_Persona;EDAD;ETNIA;VIVE_CON_PADRE;VIVE_CON_MADRE;EDUCACION_PADRES;ESCUELA_OFICIAL;UBICACION_ESCUELA;ORIGEN_SUBSIDIO_EDUC;ESTUDIA;VALOR_BECA;TRANSPORTE_ESCUELA;TIEMPO_TRANSPORTE_ESC;EDAD_CUIDADOR;ACT1;ACT2;ACT3;ACT4;ACT5;ACT6;ACT7;NO_ACT;AFILIADO_SALUD;ESTADO_SALUD;ENFERMEDAD_CRONICA;INCAP;HORAS_TRABAJO;ACTIVIDAD_ULT_SEMANA;TRABAJO1;TRABAJO2;TRABAJO3;TRABAJO4;LUGAR_TRABAJO;PERCAPITA;CANT_PERSONAS_HOGAR;INCRESOS_AUTOPERCIBIDOS_HOGAR;CONDIC_VIDA_HOGAR;ACTIVIDADES;TRABAJA;Actividades_p;Salud_p;SATISFACCION
72475311;724753121;8;5.0;2;1;2.0;1;1;;1.0;1;1;10;68;;;;;;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;1224166.66666667;2.0;3.0;2.0;1.0;0.0;7.0;27.0;34.0
72475321;724753231;9;6.0;1;1;;1;1;;1.0;1;1;8;;;;;;;;;1;1.0;2.0;2;32;0;3.0;0;0;0;2;0;286625.0;4.0;2.0;3.0;0.0;0.0;0.0;18.0;18.0
72475381;724753831;11;3.0;2;1;0.0;3;1;;1.0;1;1;12;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;966666.666666667;3.0;2.0;2.0;2.0;0.0;13.0;18.0;31.0
72475421;724754221;11;6.0;2;1;1.0;1;1;;1.0;1;;;;;;;1;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;657773.333333333;3.0;1.0;2.0;3.0;0.0;18.0;18.0;36.0
72475531;724755351;6;5.0;2;1;2.0;1;1;;1.0;1;;;;;;;;;;;1;1.0;2.0;2;32;0;6.0;0;0;0;2;0;367281.683333333;5.0;2.0;2.0;0.0;0.0;0.0;18.0;18.0
72475761;724757631;9;3.0;1;1;;1;1;;1.0;1;;;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;425000.0;6.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
72475761;724757641;8;3.0;1;1;;1;1;;1.0;1;;;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;425000.0;6.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
72475771;724757731;12;5.0;1;1;;1;1;;1.0;1;;;;;;;;;;1;;1.0;2.0;2;30;;;;;;;;478711.111111111;3.0;1.0;2.0;1.0;;7.0;18.0;25.0
72475871;724758741;9;3.0;1;1;;1;1;;1.0;1;;;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;600.0;5.0;2.0;2.0;2.0;0.0;13.0;18.0;31.0
72476001;724760051;12;6.0;1;2;2.0;3;1;;1.0;1;4;5;;;;;;1;1;1;;1.0;1.0;2;32;;;;;;;;277238.095238095;7.0;3.0;2.0;3.0;;18.0;27.0;45.0
72476001;724760061;10;6.0;1;1;;3;1;;1.0;1;4;15;;;;;;1;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;277238.095238095;7.0;3.0;2.0;2.0;0.0;13.0;27.0;40.0
72476131;724761351;11;6.0;1;1;;1;1;3;1.0;1;4;20;;;;;;;;;1;1.0;2.0;2;32;0;3.0;0;0;0;2;0;374333.333333333;5.0;1.0;2.0;0.0;0.0;0.0;18.0;18.0
72476151;724761531;12;6.0;2;2;1.0;1;1;3;1.0;1;4;15;;1;;;;1;1;1;;1.0;1.0;2;32;;;;;;;;387777.777777778;3.0;1.0;2.0;4.0;;22.0;27.0;49.0
72476171;724761731;10;6.0;2;2;2.0;1;1;;1.0;1;4;20;;;;;;1;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;293333.333333333;3.0;1.0;2.0;2.0;0.0;13.0;27.0;40.0
72476211;724762171;7;6.0;1;1;;1;1;;1.0;1;4;10;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;314977.104166667;8.0;1.0;2.0;2.0;0.0;13.0;18.0;31.0
72476311;724763141;11;6.0;1;1;;1;1;;1.0;1;4;15;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;226416.666666667;6.0;2.0;2.0;2.0;0.0;13.0;18.0;31.0
72476311;724763151;6;6.0;1;1;;1;1;;1.0;1;4;15;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;226416.666666667;6.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72476311;724763161;6;6.0;1;1;;1;1;;1.0;1;4;15;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;226416.666666667;6.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72476421;724764231;11;6.0;1;1;;1;2;;1.0;1;;;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;197812.5;4.0;1.0;2.0;2.0;0.0;13.0;18.0;31.0
72476441;724764431;10;6.0;1;1;;1;2;;1.0;1;4;5;;;;;;1;;;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;77604.1666666667;4.0;1.0;3.0;1.0;0.0;7.0;27.0;34.0
72476441;724764441;6;6.0;1;1;;1;2;;1.0;1;4;5;;;;;;1;;;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;77604.1666666667;4.0;1.0;3.0;1.0;0.0;7.0;27.0;34.0
72476451;724764551;11;6.0;1;1;;1;2;;1.0;1;4;5;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;41180.5555555556;6.0;1.0;3.0;1.0;0.0;7.0;18.0;25.0
72476451;724764561;7;6.0;1;1;;1;2;;1.0;1;4;5;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;41180.5555555556;6.0;1.0;3.0;1.0;0.0;7.0;18.0;25.0
72476561;724765631;12;6.0;2;2;0.0;1;3;;1.0;1;;;;;;;;1;1;1;;1.0;2.0;2;32;;;;;;;;193333.333333333;3.0;1.0;2.0;3.0;;18.0;18.0;36.0
72476681;724766841;11;6.0;2;1;2.0;1;1;;1.0;1;4;10;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;518958.333333333;4.0;1.0;3.0;1.0;0.0;7.0;18.0;25.0
72476731;724767341;11;6.0;1;1;;1;1;3;1.0;1;;;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;109986.111111111;6.0;1.0;3.0;2.0;0.0;13.0;18.0;31.0
72476781;724767831;9;6.0;1;1;;1;1;;1.0;1;1;10;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;250000.0;3.0;1.0;3.0;2.0;0.0;13.0;18.0;31.0
72476811;724768131;6;6.0;1;1;;3;1;3;1.0;1;1;5;;;;;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;719616.666666667;5.0;2.0;2.0;2.0;0.0;13.0;18.0;31.0
72476851;724768531;9;6.0;2;1;0.0;1;1;;1.0;1;1;20;;;;;;;1;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;54861.1111111111;6.0;1.0;2.0;2.0;0.0;13.0;27.0;40.0
72476881;724768821;10;6.0;2;1;1.0;1;1;;1.0;1;4;20;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;260625.0;4.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
72476881;724768831;6;6.0;2;1;2.0;1;1;;1.0;1;4;10;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;260625.0;4.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
72476911;724769151;10;6.0;1;1;;1;1;;1.0;1;8;10;;;;;1;;;;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;1009000.0;6.0;3.0;1.0;1.0;0.0;7.0;18.0;25.0
72476921;724769241;12;6.0;1;1;;1;1;;1.0;1;3;5;;;;;;;1;1;;1.0;2.0;2;32;;;;;;;;222500.0;5.0;2.0;2.0;2.0;;13.0;18.0;31.0
72476921;724769251;9;6.0;1;1;;1;1;;1.0;1;3;5;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;222500.0;5.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72476951;724769531;7;6.0;2;2;1.0;1;1;;1.0;1;4;5;;;;;;;;;1;1.0;2.0;2;32;0;3.0;0;0;0;2;0;297500.0;4.0;1.0;2.0;0.0;0.0;0.0;18.0;18.0
72476971;724769721;11;6.0;3;1;1.0;1;1;;1.0;1;4;10;;;;;;1;1;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;142812.5;4.0;2.0;3.0;3.0;0.0;18.0;27.0;45.0
72476981;724769831;7;6.0;1;1;;1;2;;1.0;1;8;5;;;;;;1;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;126510.416666667;8.0;1.0;2.0;2.0;0.0;13.0;18.0;31.0
72476991;724769931;11;5.0;2;1;1.0;1;2;;1.0;1;4;30;;;;;;;;;1;1.0;3.0;2;32;0;3.0;0;0;0;2;0;94500.0;5.0;1.0;3.0;0.0;0.0;0.0;9.0;9.0
72477001;724770031;8;6.0;1;1;;1;2;;1.0;1;8;5;;;;1;;;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;82500.0;4.0;1.0;2.0;2.0;0.0;13.0;27.0;40.0
72477071;724770731;9;6.0;1;1;;1;3;;1.0;1;3;10;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;290000.0;4.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
